Title,Link,Score
Vercel April 2026 security incident,https://www.bleepingcomputer.com/news/security/vercel-confirms-breach-as-hackers-claim-to-be-selling-stolen-data/,725
Changes in the system prompt between Claude Opus 4.6 and 4.7,https://simonwillison.net/2026/Apr/18/opus-system-prompt/,308
The RAM shortage could last years,https://www.theverge.com/ai-artificial-intelligence/914672/the-ram-shortage-could-last-years,282
Turtle WoW classic server announces shutdown after Blizzard wins injunction,https://www.pcgamer.com/games/world-of-warcraft/turtle-wow-classic-server-announces-shutdown-after-blizzard-wins-injunction/,216
The Bromine Chokepoint,https://warontherocks.com/cogs-of-war/the-bromine-chokepoint-how-strife-in-the-middle-east-could-halt-production-of-the-worlds-memory-chips/,197
Stop trying to engineer your way out of listening to people,https://ashley.rolfmore.com/stop-trying-to-engineer-your-way-out-of-listening-to-people/,194
SPEAKE(a)R: Turn Speakers to Microphones for Fun and Profit [pdf] (2017),https://www.usenix.org/system/files/conference/woot17/woot17-paper-guri.pdf,177
A Brief History of Fish Sauce,https://www.legalnomads.com/fish-sauce/,173
"2,100 Swiss municipalities showing which provider handles their official email",https://mxmap.ch/,172
Show HN: Run TRELLIS.2 Image-to-3D generation natively on Apple Silicon,https://github.com/shivampkumar/trellis-mac,152
Nanopass Framework: Clean Compiler Creation Language,https://nanopass.org/,131
Show HN: Prompt-to-Excalidraw demo with Gemma 4 E2B in the browser (3.1GB),https://teamchong.github.io/turboquant-wasm/draw.html,128
Mechanical Keyboard Sounds – A listening Museum,https://sheets.works/data-viz/keyboard-sounds,114
Prove you are a robot: CAPTCHAs for agents,https://browser-use.com/posts/prove-you-are-a-robot,99
Scientific datasets are riddled with copy-paste errors,https://www.sciencedetective.org/scientific-datasets-are-riddled-with-copy-paste-errors/,93
"Claude Token Counter, now with model comparisons",https://simonwillison.net/2026/Apr/20/claude-token-counts/,92
Six Levels of Dark Mode (2024),https://cssence.com/2024/six-levels-of-dark-mode/,84
I wrote a CHIP-8 emulator in my own programming language,https://github.com/navid-m/chip8emu,69
Swiss AI Initiative (2023),https://www.swiss-ai.org,64
SDF Public Access Unix System,https://sdf.org/?ssh,53
Monumental ship burial beneath ancient Norwegian mound predates the Viking Age,https://phys.org/news/2026-04-monumental-ship-burial-beneath-ancient.html,49
Zero-copy protobuf and ConnectRPC for Rust,https://medium.com/@iainmcgin/zero-copy-protobuf-and-connectrpc-for-rust-69bda8ac0f02,44
Stripe's Payment APIs: the first 10 years (2020),https://stripe.dev/blog/payment-api-design,33
Up to 8M Bees Are Living in an Underground Network Beneath This Cemetery,https://www.discovermagazine.com/up-to-8-million-bees-are-living-in-an-underground-network-beneath-this-cemetery-48977,27
"How Long Poop Stays in Your Body May Impact Your Health, Study Finds",https://www.sciencealert.com/how-long-poop-stays-in-your-body-may-impact-your-health-study-finds,27
"A cache-friendly IPv6 LPM with AVX-512 (linearized B+-tree, real BGP benchmarks)",https://github.com/esutcu/planb-lpm,26
Ben Lerner's Big Feelings,https://www.vulture.com/article/ben-lerner-transcription-interview.html,22
Knitout and Kniterate 3,https://soup.agnescameron.info//2026/04/01/transfers.html,21
Two Motorola Transistors Became the Default NPNs,https://www.allaboutcircuits.com/news/how-two-motorola-transistors-became-the-worlds-default-npns/,18
OpenClaw isn't fooling me. I remember MS-DOS,https://www.flyingpenguin.com/build-an-openclaw-free-secure-always-on-local-ai-agent/,3
